Date,OO,OO_bi_0,OO_ter_0.005,OO_ter_0.01,OC,OC_bi_0,OC_ter_0.005,OC_ter_0.01,CO,CO_bi_0,CO_ter_0.005,CO_ter_0.01,CC,CC_bi_0,CC_ter_0.005,CC_ter_0.01
2013-01-23,0.004410352587339794,buy,neutral,neutral,-0.002757315220983252,sell,neutral,neutral,0.0017523564600302657,buy,neutral,neutral,-0.0010097905600928714,sell,neutral,neutral
2013-01-24,-0.004866979874952881,sell,neutral,neutral,0.0005851483130694192,buy,neutral,neutral,-0.002115497748110493,sell,neutral,neutral,-0.00153158731497971,sell,neutral,neutral
2013-01-25,0.0029018089496555266,buy,neutral,neutral,-0.0030908429730883953,sell,neutral,neutral,0.002315305839279952,buy,neutral,neutral,-0.0007826933805923364,sell,neutral,neutral
2013-01-28,-0.0013355229281558634,sell,neutral,neutral,0.0021137815581013355,buy,neutral,neutral,0.001760762284667337,buy,neutral,neutral,0.003878265709614137,buy,neutral,neutral
2013-01-29,0.0015731198092876486,buy,neutral,neutral,-0.0001665089358419689,sell,neutral,neutral,-0.0005395213186003337,sell,neutral,neutral,-0.0007059404193217045,sell,neutral,neutral
2013-01-30,0.004574166398645385,buy,neutral,neutral,0.0023027604939257727,buy,neutral,neutral,0.0047414648307506115,buy,neutral,neutral,0.007055143782571882,buy,buy,neutral
2013-01-31,0.001339647475982364,buy,neutral,neutral,-0.002926178737687395,sell,neutral,neutral,-0.0009609002947061527,sell,neutral,neutral,-0.0038842672663821354,sell,neutral,neutral
2013-02-01,-0.0015055179757369475,sell,neutral,neutral,-0.0017463875142498086,sell,neutral,neutral,0.0014248300694043937,buy,neutral,neutral,-0.00032404575028854854,sell,neutral,neutral
2013-02-04,0.004353804565363273,buy,neutral,neutral,-0.007616899193620322,sell,sell,neutral,0.006110864016232405,buy,buy,neutral,-0.0015525810125854855,sell,neutral,neutral
2013-02-05,-0.019265696776428975,sell,sell,sell,-0.011042040643073788,sell,sell,sell,-0.011738206317039432,sell,sell,sell,-0.02265063320888372,sell,sell,sell
2013-02-06,-0.0048942878058179096,sell,neutral,neutral,-0.0015241003397361871,sell,neutral,neutral,0.006216394518179012,buy,buy,neutral,0.004682819769445734,buy,neutral,neutral
2013-02-07,-0.0013999988596080648,sell,neutral,neutral,-0.0035606600303568015,sell,neutral,neutral,0.0001242909119492947,buy,neutral,neutral,-0.0034368116760897793,sell,neutral,neutral
2013-02-08,-0.00682423452191061,sell,sell,neutral,0.0049378758002996005,buy,neutral,neutral,-0.0032752364952323425,sell,neutral,neutral,0.0016464665940372214,buy,neutral,neutral
2013-02-14,0.01554994615209404,buy,buy,buy,-0.002005964361851495,sell,neutral,neutral,0.010559926745067078,buy,buy,buy,0.008532779546501112,buy,buy,neutral
2013-02-15,-0.006176405480033176,sell,sell,neutral,0.005539271655934371,buy,buy,neutral,-0.004178823689577483,sell,neutral,neutral,0.0013373003267380668,buy,neutral,neutral
2013-02-18,0.006951628860003334,buy,buy,neutral,-0.004069889085081912,sell,neutral,neutral,0.0014045768712175456,buy,neutral,neutral,-0.002671028685941712,sell,neutral,neutral
2013-02-19,-0.0046542253945871526,sell,neutral,neutral,-0.00959895705046141,sell,sell,neutral,-0.0005867242119714961,sell,neutral,neutral,-0.010180049321921736,sell,sell,sell
2013-02-20,-0.0024516635799035624,sell,neutral,neutral,-0.0001509820199014746,sell,neutral,neutral,0.007216564967734999,buy,buy,neutral,0.007064493376278014,buy,buy,neutral
2013-02-21,-0.012215300025236298,sell,sell,sell,-0.005190169070463613,sell,sell,neutral,-0.012066139775490526,sell,sell,sell,-0.017193683540491445,sell,sell,sell
2013-02-22,-0.008071654852102816,sell,sell,neutral,-0.0025341526993963867,sell,neutral,neutral,-0.002896519206034337,sell,neutral,neutral,-0.005423331683465871,sell,sell,neutral
2013-02-25,0.0005503562265334327,buy,neutral,neutral,-0.0014357285217611285,sell,neutral,neutral,0.003092345401376077,buy,neutral,neutral,0.0016521771111230876,buy,neutral,neutral
