Date,OO,OO_bi_0,OO_ter_0.005,OO_ter_0.01,OC,OC_bi_0,OC_ter_0.005,OC_ter_0.01,CO,CO_bi_0,CO_ter_0.005,CO_ter_0.01,CC,CC_bi_0,CC_ter_0.005,CC_ter_0.01
2013-01-24,-0.0048669798749528,sell,neutral,neutral,-0.004284679466947,sell,neutral,neutral,-0.0021154977481104,sell,neutral,neutral,-0.0015315873149797,sell,neutral,neutral
2013-01-25,0.0029018089496555,buy,neutral,neutral,-0.0001980030592342,sell,neutral,neutral,0.0023153058392799,buy,neutral,neutral,-0.0007826933805923,sell,neutral,neutral
2013-01-28,-0.0013355229281558,sell,neutral,neutral,0.0007754356262094,buy,neutral,neutral,0.0017607622846673,buy,neutral,neutral,0.0038782657096141,buy,neutral,neutral
2013-01-29,0.0015731198092876,buy,neutral,neutral,0.0014063489349401,buy,neutral,neutral,-0.0005395213186003,sell,neutral,neutral,-0.0007059404193217,sell,neutral,neutral
2013-01-30,0.0045741663986453,buy,neutral,neutral,0.0068874601022465,buy,buy,neutral,0.0047414648307506,buy,neutral,neutral,0.0070551437825718,buy,buy,neutral
2013-01-31,0.0013396474759823,buy,neutral,neutral,-0.0015904513096652,sell,neutral,neutral,-0.0009609002947061,sell,neutral,neutral,-0.0038842672663821,sell,neutral,neutral
2013-02-01,-0.0015055179757369,sell,neutral,neutral,-0.0032492762721914,sell,neutral,neutral,0.0014248300694043,buy,neutral,neutral,-0.0003240457502885,sell,neutral,neutral
2013-02-04,0.0043538045653632,buy,neutral,neutral,-0.00329625711874,sell,neutral,neutral,0.0061108640162324,buy,buy,neutral,-0.0015525810125854,sell,neutral,neutral
2013-02-05,-0.0192656967764289,sell,sell,sell,-0.0300950048126802,sell,sell,sell,-0.0117382063170394,sell,sell,sell,-0.0226506332088837,sell,sell,sell
2013-02-06,-0.0048942878058179,sell,neutral,neutral,-0.0064109287598464,sell,sell,neutral,0.006216394518179,buy,buy,neutral,0.0046828197694457,buy,neutral,neutral
2013-02-07,-0.001399998859608,sell,neutral,neutral,-0.0049556739699828,sell,neutral,neutral,0.0001242909119492,buy,neutral,neutral,-0.0034368116760897,sell,neutral,neutral
2013-02-08,-0.0068242345219106,sell,sell,neutral,-0.0019200559441123,sell,neutral,neutral,-0.0032752364952323,sell,neutral,neutral,0.0016464665940372,buy,neutral,neutral
2013-02-14,0.015549946152094,buy,buy,buy,0.0135127891524327,buy,buy,buy,0.010559926745067,buy,buy,buy,0.0085327795465011,buy,buy,neutral
2013-02-15,-0.0061764054800331,sell,sell,neutral,-0.0006713466119099,sell,neutral,neutral,-0.0041788236895774,sell,neutral,neutral,0.001337300326738,buy,neutral,neutral
2013-02-18,0.0069516288600033,buy,buy,neutral,0.0028534474165004,buy,neutral,neutral,0.0014045768712175,buy,neutral,neutral,-0.0026710286859417,sell,neutral,neutral
