Date,Open,Adj Close,signal,target_pos,capital,NAV,cash,transaction_cost,intraday_PnL
2019-12-16,27.799999,27.700001,0.0,0.0,100000.0,0.0,100000.0,0.0,-0.0
2019-12-17,27.9,28.0,0.0,0.0,100000.0,0.0,100000.0,0.0,0.0
2019-12-18,28.049999,28.049999,0.0,0.0,100000.0,0.0,100000.0,0.0,0.0
2019-12-19,28.15,28.0,0.0,0.0,100000.0,0.0,100000.0,0.0,-0.0
2019-12-20,28.0,28.15,0.0,0.0,100000.0,0.0,100000.0,0.0,0.0
2019-12-23,28.200001,28.1,0.0,0.0,100000.0,0.0,100000.0,0.0,-0.0
2019-12-24,28.1,28.0,0.0,0.0,100000.0,0.0,100000.0,0.0,-0.0
2019-12-27,28.299999,28.4,0.0,0.0,100000.0,0.0,100000.0,0.0,0.0
2019-12-30,28.450001,28.549999,0.0,0.0,100000.0,0.0,100000.0,0.0,0.0
2019-12-31,28.549999,28.549999,0.0,0.0,100000.0,0.0,100000.0,0.0,0.0
2020-01-02,28.5,28.700001,0.0,0.0,100000.0,0.0,100000.0,0.0,0.0
2020-01-03,29.0,28.65,1.0,6.0,98949.52904109588,85949.99999999999,12999.529041095899,0.47095890410958896,-1050.0000000000043
2020-01-06,28.450001,28.450001,0.0,6.0,98949.06136984657,85350.003,13599.058369846578,0.4676712493150685,0.0
2020-01-07,28.549999,28.450001,0.0,6.0,98648.59969859727,85350.003,13298.596698597277,0.4676712493150685,-299.9939999999981
2020-01-08,28.1,28.25,0.0,6.0,99098.13531503563,84750.0,14348.13531503563,0.4643835616438356,449.99999999999574
2020-01-09,28.549999,28.799999,0.0,6.0,99847.66189039453,86399.997,13447.664890394532,0.4734246410958904,750.0
2020-01-10,28.85,28.799999,1.0,6.0,99697.18546575343,86399.997,13297.188465753425,0.4734246410958904,-150.00300000000522
2020-01-13,28.9,29.15,0.0,6.0,100446.70628767123,87449.99999999999,12996.706287671244,0.47917808219178076,750.0
2020-01-14,29.35,29.049999,1.0,6.0,99546.22575344107,87149.997,12396.228753441072,0.4775342301369863,-900.0030000000052
2020-01-15,29.1,28.950001,0.0,6.0,99095.75286301368,86850.003,12245.749863013683,0.4758904273972603,-449.9970000000033
2020-01-16,29.0,29.0,0.0,6.0,99095.27615068492,87000.0,12095.27615068492,0.4767123287671233,0.0
2020-01-17,29.15,29.200001,0.0,6.0,99244.79915066849,87600.003,11644.796150668495,0.48000001643835616,150.00300000000522
2020-01-20,29.299999,28.950001,1.0,6.0,98194.32926024111,86850.003,11344.326260241112,0.4758904273972603,-1049.993999999998
2020-01-21,28.799999,28.15,-1.0,-6.0,100143.86352051508,84449.99999999999,15693.863520515093,0.4627397260273972,1949.9970000000033
2020-01-22,28.299999,28.549999,-1.0,-6.0,99393.39420546302,85649.997,13743.397205463014,0.4693150520547945,-750.0
2020-01-23,28.25,28.0,0.0,-6.0,100142.93393149042,84000.0,16142.933931490421,0.4602739726027397,750.0
2020-01-24,28.0,28.1,0.0,-6.0,99842.4720136822,84300.00000000001,15542.472013682185,0.46191780821917816,-300.00000000000426
2020-01-29,27.25,27.299999,0.0,-6.0,99692.02624657535,81899.997,17792.029246575345,0.4487671068493151,-149.99699999999905
2020-01-30,27.200001,26.65,0.0,-6.0,101341.59116438357,79949.99999999999,21391.591164383586,0.43808219178082186,1650.0030000000052
2020-01-31,26.9,26.5,-1.0,-6.0,102541.15554794522,79500.0,23041.15554794522,0.43561643835616437,1199.9999999999957
2020-02-03,26.4,26.5,0.0,-6.0,102240.71993150687,79500.0,22740.719931506872,0.43561643835616437,-300.00000000000426
