Date,Open,Adj Close,signal,target_pos,capital,NAV,cash,transaction_cost,intraday_PnL
2019-12-16,27.799999,27.700001,0.0,0.0,100000.0,0.0,100000.0,0.0,-0.0
2019-12-17,27.9,28.0,0.0,0.0,100000.0,0.0,100000.0,0.0,0.0
2019-12-18,28.049999,28.049999,0.0,0.0,100000.0,0.0,100000.0,0.0,0.0
2019-12-19,28.15,28.0,0.0,0.0,100000.0,0.0,100000.0,0.0,-0.0
2019-12-20,28.0,28.15,0.0,0.0,100000.0,0.0,100000.0,0.0,0.0
2019-12-23,28.200001,28.1,1.0,7.0,99649.45759589042,98350.00000000001,1299.4575958904024,0.5389041095890412,-350.00349999999617
2019-12-24,28.1,28.0,0.0,7.0,99298.92060958904,98000.0,1298.9206095890404,0.536986301369863,-350.000000000005
2019-12-27,28.299999,28.4,0.0,7.0,99648.37945205478,99399.99999999999,248.37945205479627,0.5446575342465753,350.00349999999617
2019-12-30,28.450001,28.549999,0.0,7.0,99997.82491782738,99924.9965,72.82841782738979,0.5475342273972602,349.9929999999978
2019-12-31,28.549999,28.549999,0.0,7.0,99997.27738359998,99924.9965,72.28088359998947,0.5475342273972602,0.0
2020-01-02,28.5,28.700001,0.0,7.0,100696.7304726219,100450.0035,246.72697262189467,0.5504109780821919,700.0035000000012
2020-01-03,29.0,28.65,1.0,7.0,99471.1810205671,100274.99999999999,-803.8189794328791,0.5494520547945205,-1225.000000000005
2020-01-06,28.450001,28.450001,0.0,7.0,99470.63540410958,99575.0035,-104.36809589042969,0.5456164575342466,0.0
2020-01-07,28.549999,28.450001,0.0,7.0,99120.09678765204,99575.0035,-454.90671234796173,0.5456164575342466,-349.9929999999978
2020-01-08,28.1,28.25,-1.0,-7.0,98594.55500683012,98875.0,-280.4449931698764,0.5417808219178082,-524.999999999995
2020-01-09,28.549999,28.799999,1.0,6.0,99344.08158218903,86399.997,12944.084582189025,0.4734246410958904,750.0
2020-01-10,28.85,28.799999,1.0,6.0,99193.60515754792,86399.997,12793.608157547918,0.4734246410958904,-150.00300000000522
2020-01-13,28.9,29.15,1.0,6.0,99943.12597946572,87449.99999999999,12493.125979465738,0.47917808219178076,750.0
2020-01-14,29.35,29.049999,1.0,6.0,99042.64544523557,87149.997,11892.648445235565,0.4775342301369863,-900.0030000000052
2020-01-15,29.1,28.950001,0.0,6.0,98592.17255480817,86850.003,11742.169554808177,0.4758904273972603,-449.9970000000033
2020-01-16,29.0,29.0,0.0,6.0,98591.69584247941,87000.0,11591.695842479414,0.4767123287671233,0.0
2020-01-17,29.15,29.200001,1.0,6.0,98741.21884246299,87600.003,11141.215842462989,0.48000001643835616,150.00300000000522
2020-01-20,29.299999,28.950001,1.0,6.0,97690.7489520356,86850.003,10840.745952035606,0.4758904273972603,-1049.993999999998
2020-01-21,28.799999,28.15,0.0,6.0,95740.28921230957,84449.99999999999,11290.28921230958,0.4627397260273972,-1949.9970000000033
2020-01-22,28.299999,28.549999,0.0,6.0,96489.8198972575,85649.997,10839.822897257502,0.4693150520547945,750.0
2020-01-23,28.25,28.0,-1.0,-6.0,97239.35962328491,84000.0,13239.359623284909,0.4602739726027397,750.0
2020-01-24,28.0,28.1,0.0,-6.0,96938.89770547669,84300.00000000001,12638.897705476673,0.46191780821917816,-300.00000000000426
2020-01-29,27.25,27.299999,-1.0,-6.0,96788.45193836984,81899.997,14888.454938369832,0.4487671068493151,-149.99699999999905
2020-01-30,27.200001,26.65,-1.0,-6.0,98438.01685617806,79949.99999999999,18488.016856178074,0.43808219178082186,1650.0030000000052
2020-01-31,26.9,26.5,0.0,-6.0,99637.58123973971,79500.0,20137.58123973971,0.43561643835616437,1199.9999999999957
