Portfolio,Total PnL,Annualized Return,Cumulative Return,Annualized Standard Deviation,Max Drawdown,Sharpe Ratio
BuyNHold,-28942.09255443007,-0.11017987433152698,-0.28942092554430066,0.18210070983290566,-46823.46712963823,-0.6289863091567459
LSTM+,-16040.594780556683,-0.05856936896103093,-0.16040594780556683,0.16080680815197437,-34296.55762292909,-0.39132887920177395
LSTM++,-19189.212705191836,-0.07090973745677143,-0.19189212705191838,0.16248880487554898,-36866.09012966856,-0.46322401445143263
XGBOOST+,56967.85996631751,0.16840912340694025,0.569678599663175,0.16426005433752097,-22608.40132902746,0.9987220875305125
XGBOOST++,43284.54856896977,0.1321940673502111,0.4328454856896977,0.16413340425187856,-20126.427109821932,0.7788486986655071
LLM,53771.049233284575,0.16013927148460216,0.5377104923328457,0.1664139471337085,-18960.173732956217,0.9361011809805917
