Date,Open,High,Low,Close,Adj Close,Volume
2011-01-04,3155.56,3194.36,3143.6,3189.68,3189.68,85410440
2011-01-05,3170.18,3193.78,3158.87,3175.66,3175.66,79268808
2011-01-06,3177.83,3198.05,3152.57,3159.64,3159.64,59681092
2011-01-07,3156.36,3209.9,3141.12,3166.62,3166.62,84093232
2011-01-10,3162.08,3182.78,3102.43,3108.19,3108.19,65494404
2011-01-11,3096.25,3131.29,3084.51,3124.92,3124.92,56985916
2011-01-12,3135.18,3153.43,3099.41,3142.34,3142.34,58498520
2011-01-13,3153.99,3157.04,3127.16,3141.28,3141.28,51936988
2011-01-14,3129.67,3129.67,3083.51,3091.86,3091.86,53351440
2011-01-17,3067.43,3078.88,2968.61,2974.35,2974.35,66807564
2011-01-18,2965.42,2984.47,2947.6,2977.65,2977.65,42964560
2011-01-19,2978.46,3045.6,2967.24,3044.85,3044.85,56571940
2011-01-20,3037.86,3037.86,2944.5,2944.71,2944.71,61046640
2011-01-21,2935.23,3030.26,2935.14,2983.46,2983.46,73102968
2011-01-24,2986.09,2999.2,2943.92,2954.23,2954.23,65472544
2011-01-25,2949.65,2960.59,2919.16,2938.65,2938.65,48982688
2011-01-26,2939.77,2982.32,2939.36,2978.43,2978.43,43374980
2011-01-27,2953.59,3037.16,2935.27,3026.47,3026.47,82585920
2011-01-28,3020.12,3047.27,3011.38,3036.74,3036.74,63013592
2011-01-31,3035.42,3076.55,3032.45,3076.51,3076.51,67105916
2011-02-01,3083.49,3087.23,3062.83,3077.28,3077.28,49862528
2011-02-09,3055.4,3087.55,3031.75,3040.95,3040.95,60394144
2011-02-10,3034.08,3105.32,3024.35,3104.16,3104.16,66603664
2011-02-11,3100.27,3133.5,3092.58,3120.96,3120.96,75975552
2011-02-14,3123.25,3227.43,3123.25,3219.14,3219.14,121302336
2011-02-15,3223.22,3259.64,3215.62,3217.67,3217.67,109554440
2011-02-16,3211.14,3248.85,3195.47,3248.53,3248.53,91334288
2011-02-17,3255.63,3265.26,3218.91,3245.91,3245.91,88964688
2011-02-18,3240.05,3242.37,3203.12,3211.88,3211.88,75378680
2011-02-21,3192.15,3258.28,3189.85,3257.91,3257.91,79399776
2011-02-22,3267.61,3269.05,3161.83,3163.58,3163.58,107863736
2011-02-23,3152.44,3182.19,3145.99,3174.74,3174.74,71324856
2011-02-24,3170.24,3195.69,3157.97,3190.94,3190.94,66486892
2011-02-25,3190.87,3213.79,3159.85,3197.62,3197.62,61619276
2011-02-28,3200.68,3241.6,3178.83,3239.56,3239.56,76630664
2011-03-01,3241.71,3273.51,3235.75,3254.89,3254.89,88566960
2011-03-02,3237.12,3257.42,3202.83,3243.3,3243.3,80910640
2011-03-03,3248.16,3271.64,3221.04,3221.72,3221.72,101219992
2011-03-04,3223.51,3273.66,3217.48,3270.67,3270.67,80013920
2011-03-07,3287.41,3337.47,3287.41,3334.51,3334.51,118187192
2011-03-08,3335.71,3342.71,3311.72,3337.46,3337.46,84878656
2011-03-09,3344.1,3355.49,3322.7,3338.86,3338.86,78026360
2011-03-10,3330.44,3330.44,3279.33,3280.26,3280.26,78212640
2011-03-11,3263.08,3290.7,3240.18,3247.38,3247.38,67208336
