Date,intraday_ret,overnight_ret,daily_ret,intraday_overnight_ret_diff,ret_range,stoch_k,disc_stoch_k_1,disc_stoch_k_3,macd,disc_macd_1,disc_macd_9,rsi,disc_rsi_ter
2014-11-05,-0.005332019532196765,0.0014722442174623356,-0.0038676253496581214,-0.006804263749659101,0.00802572050438294,0.8724844605821883,0,0,20.8477543410786,0,1,62.65287449578498,neutral
2014-11-06,0.0003592570564073859,0.00068705186842168,0.001046555753061007,-0.0003277948120142941,0.011188559787493165,0.888608529755678,1,1,22.27015635928001,0,1,63.08449408059988,neutral
2014-11-07,-0.0026347677737209325,0.0010733937998539762,-0.0015642021172592724,-0.0037081615735749087,0.020801493972634484,0.7809529104353143,0,0,22.818076386539815,0,1,61.931244702127835,neutral
2014-11-10,0.014190676843898638,0.011062486261814773,0.025410147273344785,0.003128190582083865,0.020390464200787314,1.0,1,1,28.059232232551494,1,1,71.14506672505335,overbought
2014-11-11,-0.007690696700330404,0.004953755851161282,-0.002775038682947928,-0.012644452551491686,0.027204733155865864,0.8181893722215308,0,0,31.277810377061996,0,1,69.12732738482578,neutral
2014-11-12,0.01921898326392711,-0.005162959575707136,0.013956796854542208,0.024381942839634248,0.0213866122621268,0.9665544891769507,1,1,36.29170709567188,1,1,73.22833186142083,overbought
2014-11-13,-0.0067914329384497025,0.001183354405007751,-0.005616115205525962,-0.007974787343457454,0.015441425884239393,0.8870403514480965,0,0,38.64411384562982,0,1,69.18989697705766,neutral
2014-11-14,0.004623989475364065,-0.004085667215815472,0.0005194301773427945,0.008709656691179537,0.009404012016668191,0.8872247823860735,1,0,40.153673392227574,0,1,69.35727224925625,neutral
2014-11-17,-0.017757728112768004,0.012560584869183202,-0.005420190694629068,-0.030318312981951208,0.018654909359999104,0.7631433035939303,0,0,39.762773625120644,0,1,65.36481926976226,neutral
2014-11-18,-0.009297266954355647,-0.0007128666588757459,-0.010003505901600929,-0.008584400295479902,0.013743134276031398,0.5733575999530317,1,0,36.95482909391012,0,1,58.68676472028569,neutral
2014-11-19,-0.0003979150825576162,-0.00125520378371149,-0.0016526194017518758,0.0008572887011538737,0.007546961934666382,0.4791652550985821,1,0,33.99869216382922,0,0,57.649380830823006,neutral
2014-11-20,0.003290124091459007,-0.003326475433742285,-4.729585924745372e-05,0.006616599525201292,0.008919210789761888,0.41278315917931385,1,1,31.2856083335505,0,0,57.618042600358365,neutral
2014-11-21,0.018096266462794705,0.00017342635292264973,0.018272831185211613,0.017922840109872055,0.021808363880020467,0.7663793760964069,1,1,32.50167532312116,1,0,65.43537438388702,neutral
2014-11-24,0.013426875172139564,0.011883288303283123,0.02546971890410532,0.0015435868688564412,0.02505554566356747,0.9003194542205867,0,1,38.33304774716498,1,1,73.03708764390504,overbought
2014-11-25,0.013388275070941261,0.00030952039437416823,0.013701939409495267,0.013078754676567094,0.015936525671319462,0.9975379160921805,1,1,45.36066947258814,1,1,76.15295913293122,overbought
2014-11-26,0.010299562936414208,0.0036119096203399937,0.013948673647209642,0.0066876533160742145,0.012306558036312792,0.9985466358895437,1,1,53.337972311906924,1,1,78.86701849109478,overbought
2014-11-27,0.006379177429549395,0.005145022805561552,0.011557021248466803,0.0012341546239878426,0.013143495090010343,1.0,1,1,61.49058311408635,1,1,80.8398805109544,overbought
2014-11-28,0.019931516051606372,-0.00020330442296031043,0.019724159463276436,0.020134820474566682,0.025111726671725104,0.9974886641088253,0,0,71.51122595779907,1,1,83.6735842108107,overbought
2014-12-01,-0.0020526541171641457,0.005977599134155967,0.003912675073518335,-0.008030253251320112,0.01661907847423467,0.8931697193900568,0,0,79.42390937144546,0,1,84.18317117461385,overbought
2014-12-02,0.04153397878418713,-0.004422283770892294,0.0369280199729769,0.045956262555079425,0.04972675463949708,0.9512177769345693,1,1,93.02485609870064,1,1,88.0037944343158,overbought
2014-12-03,0.010704603354086444,0.004165612153464105,0.014914806733380415,0.006538991200622339,0.039665656614020814,0.8799343081580564,0,0,106.09961657049735,1,1,89.18233180625018,overbought
2014-12-04,0.04333871076157821,0.002645279776246368,0.04609863355293076,0.04069343098533185,0.04583242068372892,0.9990722446525213,1,1,126.04708284816707,1,1,91.87791007817673,overbought
2014-12-05,-0.006068760198093471,0.012762736160548873,0.006616521977225398,-0.018831496358642345,0.05922656916906925,0.8946296956728479,0,0,141.87752414436773,0,1,92.19248920963827,overbought
2014-12-08,0.04652427234442315,-0.005318587214269908,0.04095824173010887,0.051842859558693055,0.062459798584910284,0.975937115662264,1,1,162.87348214971735,1,1,93.80311849264012,overbought
2014-12-09,-0.0390306516965142,-0.006080765352549187,-0.04487408081453981,-0.032949886343965014,0.09631772460096896,0.6752332396906321,0,0,165.82286825476604,0,1,74.84072216160841,overbought
2014-12-10,0.032478583172286524,0.0042807805826368265,0.036898397443118736,0.028197802589649698,0.05499354664280592,0.806155280951271,1,0,175.3889927729124,1,1,78.51425273235854,overbought
2014-12-11,-0.0006750053372513897,-0.011295804814452772,-0.011963185423165879,0.010620799477201383,0.029793112011298913,0.7390462357782622,0,1,177.81066875980332,0,1,74.57219801979866,overbought
2014-12-12,0.003239164038053091,-2.8275123232457804e-05,0.0032107973270583123,0.003267439161285549,0.02246929792869013,0.738437344587965,1,1,178.49693149870836,0,1,74.93163603418887,overbought
2014-12-15,0.012717079604511444,-0.005135865565587224,0.007515900827688604,0.017852945170098666,0.02596743735966392,0.7554191994494783,1,1,178.91497858475987,0,1,75.79686651592763,overbought
2014-12-16,0.02546750440807608,0.0012837130077738021,0.026783910382534026,0.024183791400302277,0.02974919418257322,0.8738212305531066,1,1,184.0775513321255,1,1,78.64658925691613,overbought
2014-12-17,0.010457571365858568,0.0067869467821033095,0.017315493128291948,0.0036706245837552585,0.027986317127807796,0.9579433478516047,0,1,190.5875151503501,1,1,80.30436442948937,overbought
