Date,intraday_ret,overnight_ret,daily_ret,intraday_overnight_ret_diff,ret_range
2012-12-03,-5.099935942980436e-05,-0.022900629569398416,-0.022950461011389645,0.02284963020996861,0.027248961300352592
2012-12-04,3.743114785437085e-05,0.023438479208188104,0.0234767876852231,-0.023401048060333732,0.0015940582944047506
2012-12-05,9.97312310207826e-05,-0.0006728442582397058,-0.0005731801308050954,0.0007725754892604884,0.0015200636068046685
2012-12-06,7.47351730171258e-05,0.00024937752219801764,0.00032413133248732073,-0.00017464234918089186,0.00175782916123847
2012-12-07,3.740644492264659e-05,0.0008723899428534074,0.0009098290207822934,-0.0008349834979307608,0.0014581926582265317
2012-12-10,0.00014918762778776313,0.0014069937638960858,0.0015563912977458738,-0.0012578061361083227,0.006537051256341973
2012-12-11,2.4945705967933485e-05,-0.001914548321985872,-0.0018896503757774852,0.0019394940279538054,0.004711788117884958
2012-12-12,-1.2437994192789355e-05,0.0027775905246693513,0.002765117982821641,-0.0027900285188621407,0.003973321232987973
2012-12-13,-7.44235045110927e-05,0.0007701287192934124,0.0006956478991040349,-0.0008445522238045051,0.004421910006587037
2012-12-14,2.493856096041961e-05,-0.003190090963981152,-0.003165231959298742,0.0032150295249415714,0.0031528764420904677
2012-12-17,0.00012438328167127842,0.0012700536098891398,0.001394594864996268,-0.0011456703282178614,0.02622402418623831
2012-12-18,-1.2459040903031285e-05,-0.0005968617361227793,-0.0006093133407010232,0.000584402695219748,0.0015170946078104024
2012-12-19,-1.2463693002623088e-05,-0.0003607975546751057,-0.0003732567508077933,0.0003483338616724826,0.001692151655708507
2012-12-20,-3.7339664002411116e-05,-0.0005974486354052083,-0.000634765990876307,0.0005601089714027971,0.0014687309866033662
2012-12-21,0.00011205554392948367,0.00037363329313911135,0.00048573070475055324,-0.0002615777492096277,0.0019803381140033644
2012-12-24,0.00017441458994008722,-0.0006722579333485198,-0.0004979605950001798,0.000846672523288607,0.002253251287195861
2012-12-25,9.955249595243438e-05,0.0007472759061277144,0.0008469027952617836,-0.00064772341017528,0.0027151667982033604
2012-12-26,0.00018672818830035506,-0.0001617752463400854,2.492273396170752e-05,0.00034850343464044045,0.0014186672909218127
2012-12-27,-0.0004106725913507278,-0.0001244622182623754,-0.0005350836963914363,-0.00028621037308835243,0.00156801626583231
2012-12-28,2.4933593899283864e-05,7.465794084048366e-05,9.959339623044627e-05,-4.9724346941199796e-05,0.0016933103739138328
2012-12-31,7.672813536063405e-05,-0.027077801484713972,-0.027003150978570978,0.027154529620074606,0.02777503424387905
2013-01-01,0.0,0.028110848853890865,0.028110848853890813,-0.028110848853890865,0.0017273182988740362
2013-01-02,2.4873630817997936e-05,-0.0009458617122136925,-0.0009210116084107378,0.0009707353430316904,0.0030988450339367113
2013-01-03,9.967406136297669e-05,-0.00033626827451756935,-0.00023662773037924634,0.00043594233588054607,0.0015446511775366555
2013-01-04,0.00048582148232353793,0.00019932825486924615,0.0006852465751410186,0.0002864932274542918,0.0017567473431192317
2013-01-07,0.00021796977358427982,-0.02894885603148417,-0.028737196233494577,0.02916682580506845,0.02914812200539792
2013-01-08,-0.00017433382834339874,0.029125938366660338,0.0289465269019773,-0.029300272195003738,0.0024613296849945766
2013-01-09,-6.228094368858815e-05,-0.0008098876694862233,-0.000872118172606462,0.0007476067257976352,0.002080637513631488
2013-01-10,-6.226386355446417e-05,0.0003366204805132864,0.0002743356576671019,-0.0003988843440677506,0.0017831446120543726
2013-01-11,2.489533925064583e-05,-0.0001246840915285259,-9.979185633068877e-05,0.00014957943077917172,0.002966931520049172
2013-01-14,0.0,-0.03237829510408557,-0.03237829510408552,0.03237829510408557,0.03510868848747041
2013-01-15,0.0002246453003198964,0.032443831927971546,0.03267576558265839,-0.03221918662765165,0.0020228915445207017
2013-01-16,8.743265767649425e-05,-0.0014098904282064354,-0.0013225810409971395,0.0014973230858829297,0.0018839937872008453
2013-01-17,0.00011237593993915326,0.0006247090642239493,0.0007371552064314724,-0.000512333124284796,0.0016116287481147584
2013-01-18,7.491310414684575e-05,0.0002746576081496888,0.00034959128775047255,-0.00019974450400284306,0.0016728739335717022
2013-01-21,-2.5530843994993524e-05,-0.021028846600166864,-0.021053840559959958,0.02100331575617187,0.02285095090115127
2013-01-22,-4.987432191176675e-05,0.022309740204872017,0.022258753199795533,-0.022359614526783783,0.0020780054065981895
2013-01-23,-0.00014968455819743803,-0.0003616254517716525,-0.0005112558802231604,0.00021194089357421447,0.0016212564704196327
2013-01-24,-3.7493279664381586e-05,-0.0002869941310109244,-0.00032447665032409034,0.0002495008513465428,0.001834189233771036
2013-01-25,7.491684379131307e-05,-2.492206275821768e-05,4.999291395080263e-05,9.983890654953074e-05,0.0014353620264389608
2013-01-28,1.2819844631113931e-05,-0.025136102995727678,-0.025123605392031623,0.02514892284035879,0.02619691149993041
2013-01-29,0.00012475286546619743,0.025771067523011136,0.025899035402996873,-0.02564631465754494,0.0016642692084022932
2013-01-30,-4.9922879938598576e-05,-0.000262045034257758,-0.00031195483215362696,0.00021212215431915942,0.001472524990973839
2013-01-31,-4.9924748300400856e-05,1.2499944196677693e-05,-3.742542816032035e-05,-6.242469249707854e-05,0.0016477605010691916
2013-02-01,6.244012743442075e-05,-0.00019978337083580955,-0.00013735571790052248,0.0002622234982702303,0.0023593039562241525
2013-02-04,0.0,-0.021961403992093596,-0.021961403992093564,0.021961403992093596,0.025132628615096724
2013-02-05,0.00011213372280617984,0.024611948929435575,0.02472684248170065,-0.024499815206629395,0.0015445954377368253
