Date,intraday_ret,overnight_ret,daily_ret,intraday_overnight_ret_diff,ret_range,stoch_k,disc_stoch_k_1,disc_stoch_k_3,macd,disc_macd_1,disc_macd_9,rsi,disc_rsi_ter
2012-12-03,-0.013710186622820312,0.0018178900595413297,-0.011917220175255094,-0.015528076682361641,0.020231196961583608,0.6291366173579613,0,0,94.56632072982757,0,1,54.04180257885591,neutral
2012-12-04,0.0006380402902227162,0.000837046536611163,0.0014756208962489747,-0.0001990062463884468,0.007592368296169299,0.6593238974374035,1,0,92.08353733914555,1,1,54.77904003666277,neutral
2012-12-05,0.020711315292454357,0.0008733526645185249,0.021602756239369247,0.019837962627935832,0.02151880758870716,0.9973230399037497,1,1,125.56402855091437,1,1,63.917960836278795,neutral
2012-12-06,-0.004745061599396691,0.0038157609255206615,-0.0009474066945162063,-0.008560822524917352,0.006322622016212643,0.9130184811505077,0,1,148.70689272214076,0,1,63.300715554504706,neutral
2012-12-07,-0.004645068350126878,0.002018890083597095,-0.0026355561489594947,-0.006663958433723973,0.008239624231350986,0.8443983542425468,0,0,160.5675496322765,0,1,61.52252667667228,neutral
2012-12-10,-0.004506292968742841,0.008399314937256416,0.003855172194669576,-0.012905607905999258,0.006389964195182857,0.9121925335591872,1,0,174.68689886107677,1,1,63.148934276712424,neutral
2012-12-11,0.0012535535966870445,0.0008650075344032505,0.002119645464396136,0.00038854606228379404,0.006696662829689871,0.9208721226023546,1,1,187.433699403864,1,1,64.05210835140062,neutral
2012-12-12,0.004035587414997554,0.003985001737117096,0.008036670974973736,5.0585677880458056e-05,0.004260420755920219,0.9946949012353365,1,1,209.30326176340895,1,1,67.3285815691375,neutral
2012-12-13,-0.002462565232589156,-0.00010484550260095828,-0.0025671525463005773,-0.002357719729988198,0.008103741500288803,0.8740729272798405,0,0,219.5161120853736,0,1,65.26579021912471,neutral
2012-12-14,0.009343321658505217,-0.002176792706178146,0.007146190477889336,0.011520114364683363,0.010679562904619045,0.9697579276324085,1,1,237.585396949813,1,1,68.1807774824432,neutral
2012-12-17,-0.003415130408424559,-0.0006733042676932663,-0.004086135254239065,-0.0027418261407312927,0.007600657389646096,0.878015235486618,0,0,241.77148857530483,0,1,64.80773781483396,neutral
2012-12-18,-0.0013642548241417092,0.000526417701515264,-0.0008385552905152416,-0.0018906725256569732,0.0061625051791589945,0.8506147342671886,0,0,240.8046667121016,0,1,64.10965274301972,neutral
2012-12-19,-0.0013807871435060804,0.007109217071845472,0.005718613612806234,-0.008490004215351553,0.0054102080504618184,0.9393963167081805,1,1,247.4206700908362,1,1,66.73870963071883,neutral
2012-12-20,0.002512457949640409,-0.0009007900690355356,0.0016094046834349562,0.0034132480186759443,0.007858732911082593,0.9759585776766627,1,1,252.64617643056408,0,1,67.46516119117865,neutral
2012-12-21,-0.002605829697872284,-0.004178745604025304,-0.006773686202502738,0.00157291590615302,0.006263507055409558,0.8218271324062997,0,0,241.75229031594063,0,1,61.379168096838164,neutral
2012-12-24,0.00206576337562684,-0.0005144395403368155,0.0015502611249287312,0.0025802029159636554,0.0036811759213136604,0.8377987336117402,0,0,233.2123000551037,1,0,62.21361728236941,neutral
