Date,intraday_ret,overnight_ret,daily_ret,intraday_overnight_ret_diff,ret_range
2012-12-03,2.578096797259268e-05,-1.2921081908030323e-05,1.2859552946498098e-05,3.8702049880623e-05,7.100442153269997e-05
2012-12-05,8.983228374154415e-06,-1.285938758058806e-05,-3.876274725200801e-06,2.1842615954742474e-05,0.00019615180673164943
2012-12-06,9.044839143996423e-06,-1.8027823761717702e-05,-8.983147676500103e-06,2.7072662905714125e-05,0.00012902507313420483
2012-12-07,0.0,8.983228374154415e-06,8.983228374059848e-06,-8.983228374154415e-06,9.032451543327864e-05
2012-12-10,2.1966321752343935e-05,-3.0948789597761106e-05,-8.983147676500103e-06,5.2915111350105044e-05,5.291443151903489e-05
2012-12-11,-1.285938758058806e-05,1.2859552946563511e-05,0.0,-2.571894052715157e-05,5.162279867065448e-05
2012-12-12,-1.0336918952094842e-05,-5.168432763212129e-06,-1.5505298289641978e-05,-5.1684861888827125e-06,0.0001974464373469967
2012-12-13,1.027531001133299e-05,1.808979515891239e-05,2.836529104843777e-05,-7.814485147579401e-06,6.325275314068686e-05
2012-12-14,8.983228374154415e-06,-1.285938758058806e-05,-3.876274725200801e-06,2.1842615954742474e-05,0.00012902457299757494
2012-12-17,-5.1683663003320425e-06,3.876289750813021e-06,-1.2920965836160647e-06,-9.044656051145064e-06,7.746426660751736e-05
2012-12-18,3.870271692457505e-05,-3.353302609287824e-05,5.168393012455752e-06,7.223574301745328e-05,0.00018323183799007594
2012-12-19,0.0,-1.285938758058806e-05,-1.2859387580554937e-05,1.285938758058806e-05,7.74639663347386e-05
2012-12-20,-5.1683663003320425e-06,1.2859552946563511e-05,7.691120183395128e-06,-1.8027919246895555e-05,9.032451543327864e-05
2012-12-21,-7.69106103047666e-06,0.0,-7.691061030490332e-06,-7.69106103047666e-06,9.032382074191789e-05
2012-12-24,0.0,0.0,0.0,0.0,0.00016778947791999376
2012-12-25,-1.2858889925871884e-05,5.156126970918767e-05,3.8701716762679084e-05,-6.442015963505955e-05,0.00014194731410393312
2012-12-26,0.0,1.2859055279048268e-05,1.2859055279035303e-05,-1.2859055279048268e-05,0.00014188029413150864
2012-12-27,1.421227365800606e-05,1.2920415714990887e-05,2.71328730014897e-05,1.2918579430151728e-06,0.00024518026963923185
2012-12-28,-2.5836429808940833e-06,0.00014322815087781384,0.00014064413784642404,-0.00014581179385870791,0.00014839617694041536
2012-12-31,5.167525962665486e-06,-4.3860528686077586e-05,-3.8693229373887306e-05,4.902805464874307e-05,0.00022576176757069388
2013-01-01,-9.031635765203802e-05,-9.03082013442265e-05,-0.00018061640268840495,-8.156307811519594e-09,9.03082013442265e-05
2013-01-02,0.0,0.00016772794895852697,0.00016772794895847376,-0.00016772794895852697,0.00021941227659064825
2013-01-03,-2.5839464207635597e-06,-6.324116507697367e-05,-6.58249480859352e-05,6.065721865621011e-05,0.00019482954260581283
2013-01-04,-1.2918915044907071e-06,6.582928129497886e-05,6.453730474609287e-05,-6.712117279946957e-05,0.00020001027428969743
2013-01-07,0.0,-5.936556725737354e-05,-5.936556725738562e-05,5.936556725737354e-05,0.0001354642270473954
2013-01-08,0.0,6.459849360004267e-06,6.45984936009647e-06,-6.459849360004267e-06,0.00018838151181269587
2013-01-09,-2.5838163890858364e-06,4.128124685853403e-05,3.869732380623603e-05,-4.3865063247619864e-05,0.00016124910285576405
2013-01-10,-1.2917564898768734e-06,0.00012002473333869374,0.00011873282180618894,-0.00012131648982857061,0.00018191344771015757
2013-01-11,2.5837496297394503e-06,-9.030004650944494e-05,-8.771653019246095e-05,9.288379613918439e-05,0.00023479242338320935
2013-01-14,0.0,5.9303052563113e-05,5.9303052563075553e-05,-5.9303052563113e-05,0.00015742376712552506
2013-01-15,0.0,9.288620252969114e-05,9.288620252978497e-05,-9.288620252969114e-05,0.00017156266149358183
2013-01-16,0.0,-5.160548730557295e-05,-5.160548730553938e-05,5.160548730557295e-05,0.00011735789008228031
2013-01-17,1.2855571893955433e-05,2.583483103589922e-05,3.8690735051361e-05,-1.2979259141943788e-05,9.804933493148418e-05
2013-01-18,-1.2916748908427077e-05,1.291691575298453e-05,0.0,-2.5833664661411607e-05,9.933723305271436e-05
2013-01-21,-7.749889179660084e-06,3.358398095775978e-05,2.5833831506005822e-05,-4.133387013741986e-05,0.0001677353774208991
