Date,intraday_ret,overnight_ret,daily_ret,ret_range
2012-12-03,-0.004857594256212176,0.00011291792237573793,-0.004745224843287543,0.010782541027347945
2012-12-04,-0.0017098123935156348,0.0,-0.0017098123935156417,0.006733068336373846
2012-12-05,0.0015848622233496671,0.0,0.0015848622233496368,0.012316603904341228
2012-12-06,0.003199795323959681,0.0001064546512713665,0.0033065906083264984,0.005690776349778282
2012-12-07,0.0029138196254916006,7.079342857409258e-06,0.0029209195962771606,0.006676338315233813
2012-12-10,0.0003385605486660775,0.0,0.0003385605486661003,0.004231102997212062
2012-12-11,0.006548882078472995,0.0,0.0065488820784729285,0.011081717360703196
2012-12-12,0.000448239763389592,0.0,0.0004482397633895907,0.008285211464781376
2012-12-13,-0.006321425165448823,0.0,-0.0063214251654488685,0.010752678064499149
2012-12-14,-0.0041354012604257915,0.0,-0.004135401260425775,0.005333013878237041
2012-12-17,0.011899165092074766,-2.8238227357799152e-05,0.011870590853387819,0.012118171886521704
2012-12-18,0.01140888567646976,7.689347624994357e-05,0.011486656421599406,0.012255676526469918
2012-12-19,-0.00758920103974788,0.0,-0.007589201039747917,0.008259630526360551
2012-12-20,0.005488109492851481,0.0,0.00548810949285139,0.007577607370621508
2012-12-21,-0.00936503433589438,-1.3782364458478218e-05,-0.009378687628036508,0.014608460782155101
2012-12-24,-0.002440296594621156,0.0,-0.002440296594621194,0.003838751278296323
2012-12-26,-0.004787460194696779,0.0,-0.00478746019469678,0.009105175671262207
2012-12-27,-0.0012184420122795087,0.0,-0.001218442012279497,0.014790503546180387
2012-12-28,-0.011049941573072396,0.0,-0.011049941573072375,0.01164940400229834
2012-12-31,0.01694194133421629,0.0,0.016941941334216226,0.020414568845736947
2013-01-02,0.025403420320955945,0.0,0.025403420320955883,0.025410438857081035
2013-01-03,-0.002085617494612962,0.0,-0.0020856174946130013,0.006796912725179871
2013-01-04,0.004865096315322949,0.0,0.004865096315322948,0.006132749886471606
2013-01-07,-0.003123116153883164,0.0,-0.0031231161538831653,0.006716793240038018
2013-01-08,-0.003242371304871999,0.0,-0.003242371304872038,0.007011471381084007
2013-01-09,0.002655865938542376,0.0,0.002655865938542279,0.005201905039074814
2013-01-10,0.007597415119266325,0.0,0.007597415119266371,0.007720653479131694
2013-01-11,-4.751398615228506e-05,0.0,-4.7513986152325494e-05,0.0035119718246208187
2013-01-14,-0.0009306715612544089,0.0,-0.0009306715612543703,0.004320578248639153
2013-01-15,0.0011354837081743788,-6.80621566855589e-06,0.0011286697641588184,0.006493627763582944
2013-01-16,0.0002037918381617545,-6.7985423593545335e-06,0.00019699191031485874,0.004319644578838177
2013-01-17,0.005642922184040913,0.0,0.005642922184040833,0.008508606544297664
2013-01-18,0.0033964883775408753,6.759062501545518e-06,0.0034032703971196288,0.006867207501570246
2013-01-22,0.004428106846314527,0.0,0.004428106846314561,0.007671721398606178
2013-01-23,0.0015074770271689365,0.0,0.001507477027169024,0.004174023305045239
2013-01-24,6.614683421251459e-06,0.0,6.614683421224399e-06,0.008569689854643557
2013-01-25,0.005445481690718231,0.0,0.005445481690718124,0.00564620742285064
2013-01-28,-0.0018496216125601108,0.0,-0.0018496216125600817,0.0045909569073007625
2013-01-29,0.0051059951706643285,0.0,0.005105995170664235,0.00750577221565608
2013-01-30,-0.0038996213232838617,0.0,-0.0038996213232838084,0.006519230341092394
2013-01-31,-0.0025633010773032892,0.0,-0.0025633010773032927,0.00494682403916237
2013-02-01,0.01005270556968876,0.0,0.010052705569688847,0.010880408639890253
2013-02-04,-0.011538744820964434,0.0,-0.011538744820964397,0.011994702437235442
2013-02-05,0.010416510240551263,0.0,0.010416510240551347,0.012870142275400936
2013-02-06,0.0005491705981218188,0.0,0.0005491705981217621,0.005174432542562135
2013-02-07,-0.0018053993582291263,0.0,-0.0018053993582290984,0.00952968959224082
2013-02-08,0.005657940611518568,0.0,0.005657940611518475,0.00590970117646507
2013-02-11,-0.0006061174841773743,0.0,-0.000606117484177382,0.003096370106578405
2013-02-12,0.0015952722327035877,0.0,0.001595272232703504,0.004403434168486176
2013-02-13,0.0005922630933567154,0.0,0.000592263093356804,0.005765245773517533
2013-02-14,0.0006906716689644895,0.0,0.0006906716689645265,0.00599869461288142
2013-02-15,-0.0010450813177572756,0.0,-0.0010450813177572682,0.00663869352398612
2013-02-19,0.007336475471722361,0.0,0.007336475471722448,0.007336475471722361
2013-02-20,-0.012404137955230092,0.0,-0.012404137955230099,0.012756808218500877
2013-02-21,-0.006303057332801331,0.0,-0.006303057332801343,0.009696030016081197
2013-02-22,0.008772467921830217,0.0,0.008772467921830174,0.008799117634513003
2013-02-25,-0.018309580659152315,0.0,-0.018309580659152336,0.02506597443015127
2013-02-26,0.006109463971145838,0.0,0.006109463971145868,0.00939609550569403
2013-02-27,0.012725994077109781,0.0,0.012725994077109837,0.016834310098107045
2013-02-28,-0.0008640799292051931,0.0,-0.0008640799292052304,0.007176831610300033
2013-03-01,0.0023238554256483526,0.0,0.002323855425648391,0.012220409003390402
2013-03-04,0.004610723373160965,0.0,0.00461072337316093,0.008549585618634064
2013-03-05,0.009566016494699481,0.0,0.00956601649469957,0.011978770073531918
2013-03-06,0.0010845127144845869,0.0,0.001084512714484509,0.004637005349628507
2013-03-07,0.0018164914425815117,0.0,0.0018164914425815581,0.0028025822719051226
2013-03-08,0.004481139122655107,0.0,0.004481139122655131,0.006177741443908729
2013-03-11,0.0032685080161589408,-1.9359001428080482e-05,0.0032490857396794137,0.005744036070069197
