Date,intraday_ret,overnight_ret,daily_ret,intraday_overnight_ret_diff,ret_range
2012-12-03,-0.008034494590797464,-0.002048121155734786,-0.010066160128185175,-0.005986373435062678,0.016843696697162458
2012-12-04,0.010867504070409996,-0.001860094766933478,0.008987194716025604,0.012727598837343474,0.014352099622759733
2012-12-05,0.03701353774837014,-0.0008926550017789121,0.036087842426986594,0.03790619275014905,0.04194831656909984
2012-12-06,0.0005564134464499573,-0.0013797495223944187,-0.0008241037871314916,0.001936162968844376,0.011487507335772404
2012-12-07,0.020358235037134194,0.001174691643443522,0.021556841329151144,0.01918354339369067,0.02366253858362173
2012-12-10,0.006820617753093666,0.004379419176473377,0.011229907273750284,0.0024411985766202883,0.011443985026790324
2012-12-11,-0.0018506607769134343,-0.003157359914835979,-0.0050021774895964155,0.0013066991379225446,0.008897464434336614
2012-12-12,0.0069882051250888715,0.00037689740487906957,0.007367736366344246,0.006611307720209802,0.010255256806949574
2012-12-13,-0.009711383024454016,-0.003294853149722735,-0.012974238593230436,-0.006416529874731281,0.012165611629745315
2012-12-14,0.05523293091761778,0.001210542726655656,0.05651033546706774,0.054022388190962126,0.05576444550417883
2012-12-17,0.003433550695366044,0.002800828674930353,0.006243996157540899,0.000632722020435691,0.010103815839727677
2012-12-18,0.005706216317473047,-0.0022428616614428294,0.0034505564022198065,0.007949077978915876,0.024619719929838656
2012-12-19,0.0021490794584779513,-0.0026191363154425516,-0.00047568558901911473,0.004768215773920503,0.013324927644210104
2012-12-20,0.00929830625648122,-0.004713248701276377,0.004541232325317335,0.014011554957757596,0.018319744039632598
2012-12-21,-0.008703835733637526,0.0007477425025970897,-0.00796260145895411,-0.009451578236234616,0.020993869653070294
2012-12-24,0.007516975210711818,-0.0026352280507942667,0.004861938215985129,0.010152203261506084,0.016012750361049346
2012-12-25,0.033993585248370504,-0.0038363757128787963,0.03002679737065117,0.0378299609612493,0.042223036577265755
2012-12-26,0.002198585113074093,-0.0012618962910256432,0.0009339144356488305,0.003460481404099736,0.007349017166236784
2012-12-27,-0.010549165757574055,0.0029268671968720743,-0.0076531745679121466,-0.013476032954446129,0.017239081174745742
2012-12-28,0.01573456855656558,0.0016286280347888838,0.017388822350820954,0.014105940521776696,0.01691870291809849
2012-12-31,0.01959406799196481,0.002271914624419017,0.021910498666006584,0.017322153367545792,0.019990648293313484
2013-01-04,-0.00819741670024817,0.015223289264028234,0.006901080918134461,-0.023420705964276402,0.026969122776796937
2013-01-07,0.008149871853988636,-0.0029083132852178854,0.005217856188185044,0.011058185139206521,0.018631381983426964
2013-01-08,-0.011788174588397933,-0.00021805494984740507,-0.012003659068426709,-0.011570119638550529,0.019598353419208056
2013-01-09,0.0020144630888794175,-0.0032728819124827903,-0.0012650119234103308,0.005287345001362208,0.012036453875512006
2013-01-10,0.00026954323203898673,-0.00018864466890160781,8.08477152436371e-05,0.00045818790094059457,0.017371479082001155
2013-01-11,-0.020879872104727693,0.001228785927167472,-0.01967674307056355,-0.022108658031895163,0.028256686912890967
2013-01-14,0.04514939381224741,-0.004211151304577335,0.0407481115790167,0.04936054511682475,0.04911543832257647
2013-01-15,0.0039841269002541405,-0.0003116581268817908,0.0036712270878453968,0.004295785027135931,0.009487084675928391
2013-01-16,-0.009618885306796545,-0.002536775348017124,-0.012131259703691999,-0.007082109958779422,0.02468356095892218
2013-01-17,-0.008922656066337567,-0.0028556206712839105,-0.01175279701651566,-0.006067035395053657,0.014757591901971255
2013-01-18,0.01018867520452305,0.00691127475821317,0.017170366696496853,0.003277400446309881,0.023154387742999674
2013-01-21,0.004014067747309488,0.0021518027973436078,0.006174508026860481,0.0018622649499658805,0.014484918830394442
2013-01-22,0.0018469656992084432,-0.0018120140747140043,3.1604896651993286e-05,0.0036589797739224475,0.020548450306567493
2013-01-23,0.01028724962844255,-0.004113774032130601,0.0061311561759285205,0.01440102366057315,0.013658151171977911
2013-01-24,-0.005099690039373382,-0.00011517480394108665,-0.0052142774875140185,-0.004984515235432295,0.040059890898049344
2013-01-25,-0.006231957350864955,-0.0009999052721321616,-0.007225631255986298,-0.005232052078732794,0.012761948868001978
2013-01-28,0.03516862429861071,0.002353627183333804,0.03760502531209409,0.032814997115276905,0.03568077606085501
2013-01-29,0.011644045310745962,0.001231231384649893,0.01288961320942672,0.01041281392609607,0.0218198723810789
2013-01-30,0.002216714023738923,0.00116008110480081,0.0033793666965933333,0.001056632918938113,0.011040945819168625
2013-01-31,0.0003864530635188217,0.0015884824965315192,0.001975549433977486,-0.0012020294330126976,0.01203928980757246
2013-02-01,0.03564807351281626,-0.004159036749027951,0.031340775116016406,0.039807110261844206,0.039608679292612706
2013-02-04,-0.001271747855436654,0.005983305119374323,0.004703948008483616,-0.007255052974810977,0.01811530753215408
2013-02-05,0.012127230745147021,-0.010278930371503587,0.0017236454132150136,0.022406161116650607,0.020122107689104697
2013-02-06,0.004421699672359127,0.00018850141376076148,0.004611034582759244,0.0042331982585983655,0.011822422001498363
2013-02-07,-0.01248505649608581,-0.0019292852022380496,-0.01439025446357689,-0.010555771293847759,0.030180563774663348
2013-02-08,-0.0008414296476758085,-0.0021673549483055715,-0.0030069609192708846,0.001325925300629763,0.018608011403020687
2013-02-17,-0.0008414296476758085,0.0008421382477649197,0.0,-0.001683567895440728,0.01866413372371996
2013-02-18,-0.018197590549339226,0.004651344973120122,-0.01363088884754371,-0.022848935522459347,0.020656867833256543
2013-02-19,-0.015074152700371466,-0.0015834566013758836,-0.01663374003514384,-0.013490696098995583,0.023568187910135124
