Date,HSI_daily_ret,HSI_disc_stoch_k_3,HSI_stoch_k,HSI_disc_macd_1,HSI_intraday_ret,HSI_overnight_ret,HSI_rsi,CSI300_overnight_ret,SSE50_overnight_ret,HSI_ret_range,HSI_OC_ter_0.005
2020-01-22,0.0127105516848287,0,0.366924129709179,0,0.0079860246652321,0.0046870957572707,52.407778600149015,-0.004985040018861,-0.0050794957687468,0.0163031845158271,neutral
2020-01-23,-0.0152400877371677,0,0.1380612795884548,0,-0.0071374117299157,-0.0081609238810878,46.12380886713873,-0.0093443015733567,-0.0079890519172399,0.0150544994242834,sell
2020-01-24,0.0014519083949164,0,0.1656541179787684,0,0.0005090563580132,0.0009423723162841,46.76867915707869,-0.020996381899696985,-0.019342260046226946,0.0072782970451876,sell
2020-01-29,-0.0282296926894743,0,0.0285002133630251,0,0.002180385281394,-0.0303439165418607,37.38532064781893,-0.05595262287871785,-0.05340188443318807,0.0082921180225371,sell
2020-01-30,-0.0261960041975392,0,0.0418578402867552,0,-0.021511853749135,-0.0047871304995892,31.28894952912168,-0.06760470320505813,-0.06475509256217513,0.0296200778312301,sell
2020-01-31,-0.0051608501135914,0,0.0059527847040022,0,-0.0166299802567844,0.0116630870505772,30.269154234673422,-0.07925678353139842,-0.07610830069116216,0.0197870248424248,sell
2020-02-03,0.0016854874608327,1,0.0697813112299865,0,0.0063907441823003,-0.0046753775794018,31.055410362026837,-0.0909088638577387,-0.0874615088201492,0.0139473029639772,sell
2020-02-04,0.0121030555976706,1,0.1750851215686223,0,0.0069576731474306,0.0051098299237912,36.59348214865536,-0.0098580398876465,-0.001085406055539,0.0090526154791477,buy
2020-02-05,0.0041520410376201,1,0.2116475834887689,0,-0.0030733966160871,0.007247712749546,38.44239372593925,0.0040838537209032,0.0032490535521315,0.0106537496937715,buy
2020-02-06,0.0263921245433129,1,0.4450189778706487,1,0.0117451867661863,0.0144769038377561,48.72069300757952,0.0034530224394218,0.0059049379643784,0.0216051099792771,buy
2020-02-07,-0.0032527339005371,1,0.4154977024752146,1,0.001754267598097,-0.0049982332599784,47.63712235745837,-0.0051874721138115,-0.006336496327354,0.0067819516034,buy
2020-02-10,-0.0059454125319489,0,0.3617136369233864,1,0.0055067409184553,-0.0113894347838419,45.64533325057788,-0.0070515171018521,-0.0087351098113061,0.0098437130505297,neutral
2020-02-11,0.0125743086643217,1,0.6129674531808084,1,0.0025307198769728,0.0100182354397892,50.345897668725726,0.0026583180328956,0.0031087064833723,0.0087301253853181,buy
2020-02-12,0.0086927324729038,1,0.7463597272292924,1,0.0038401921413787,0.0048339769313019,53.38485101323192,-0.0017179174488799,-0.0011076927350635,0.0100656753863057,buy
2020-02-13,-0.0033662054425632,1,0.797211786129491,1,-0.0080007579510977,0.0046719315016432,52.0449420088501,0.000363916545152,0.0009704412572221,0.0092745088101586,neutral
2020-02-14,0.0030868953975837,1,0.9115569746429923,1,0.0042254564926553,-0.0011337703975838,53.20104107622733,-0.0014368977151053,-0.0016588534783757,0.0095589726830147,neutral
2020-02-17,0.0051769511361339,1,0.9497481887485107,1,0.0069467598200295,-0.0017575990653288,55.15946544418348,0.0029891692767564,0.0022901079770367,0.0103851487899487,buy
2020-02-18,-0.0153578876888144,0,0.7249300808352465,0,-0.0085102833000198,-0.006906379636075,48.624936500868245,-0.0018614712244507,-0.0031931445694509,0.0098374363400316,sell
2020-02-19,0.0045626741429263,0,0.7906955103459912,1,0.0061612009549019,-0.0015887382761913,50.47328892590623,-0.0019519360395908,-0.0024893995349474,0.0090395759997082,neutral
2020-02-20,-0.001686820588604,1,0.7662710971812479,1,-0.0056944412498776,0.0040305725196904,49.75730963555398,0.0028608030488903,0.0026028128163733,0.0138903337093986,neutral
2020-02-21,-0.0108786217210236,0,0.5225014268283698,0,-0.0051602190195462,-0.0057480639705034,45.30167486427061,-0.0023596627950181,-0.0042240563028426,0.0079593149069496,sell
2020-02-24,-0.0178671160599426,0,0.1265940308982942,0,-0.0104949301189463,-0.0074503771283177,39.165823730959694,-0.0042535347717429,-0.0061183097832312,0.0106972402092931,sell
2020-02-25,0.0026975105610564,0,0.1628986135121031,0,0.0063931347366119,-0.0036721476409143,40.4537140108085,-0.0161003087465278,-0.0129862151582066,0.0092096795793214,sell
2020-02-26,-0.0073156043712789,0,0.1374580414206171,0,0.0081794055323063,-0.0153692981810158,38.09210558200337,-0.0130339367338774,-0.0109510126077571,0.0110124425771064,neutral
2020-02-27,0.0030763933958721,1,0.2192751172632524,0,0.0094028278866091,-0.0062675022458403,39.67529271528991,0.002715429828481,0.0011028132075666,0.0160919883326774,buy
2020-02-28,-0.0242241562090441,0,0.0680096684025299,0,-0.0045384808786683,-0.0197754257218821,32.58680647081528,-0.0235380231487828,-0.0177744811197647,0.0121044562939489,sell
2020-03-02,0.0061902194890857,1,0.1462946140343082,0,0.0082042882913597,-0.0019976792656648,35.67297042615036,0.0073070138703823,0.0059304370019567,0.0114114232631342,neutral
2020-03-03,-0.0002608952749132,1,0.1429747636544444,0,-0.0050838366935655,0.0048475857529785,35.59854329817303,0.0136300977720552,0.0116201094264225,0.0111959136311838,buy
2020-03-04,-0.0023873094529072,0,0.1126045606350064,0,-0.0037797999931585,0.0013977738458241,34.88157178533413,-0.0031432091040632,-0.0001266498712963,0.012710371985732,sell
2020-03-05,0.0208144826712946,1,0.3767642613191111,1,0.0159293469405848,0.0048085388471364,45.216811039691976,0.0085442461209462,0.0064866992132501,0.0186949656256284,buy
2020-03-06,-0.023206898370824,0,0.0882544435773099,0,-0.0095125189197155,-0.0138258985728648,37.85303861071262,-0.0115362763952047,-0.009380166795336,0.0121253698153883,sell
2020-03-09,-0.042307834522725,0,0.0326652698444372,0,-0.0037223888377135,-0.0387296123617558,28.844498999884166,-0.0182263664942214,-0.0189555556305082,0.0142617946612017,sell
2020-03-10,0.0140591991898111,1,0.1575540645032551,0,0.004224924124852,0.009792900802108,34.21061294048293,-0.005478931133088,-0.0031232244503857,0.0239467904912642,buy
